id,plan,billing,model,model_display,vendor,label,price_usd,monthly_yi,real_usd_per_mtok,list_blended_usd_per_mtok,api_cost_usd_month,api_cost_multiple,api_cost_inherited,api_price_tier,api_price_confidence,api_price_source,api_price_archive,d,confidence,tier,source,note,arena_code__selection,arena_code__configuration_count,arena_code__configuration_id,arena_code__variant,arena_code__score,arena_code__score_is_estimated,arena_code__agent_harness,arena_code__reasoning_effort,arena_code__service_mode,arena_code__score_low,arena_code__score_high,arena_code__mean_cost_usd_per_task,arena_code__median_cost_usd_per_task,arena_code__source,arena_code__mapping_kind,arena_code__mapping_confidence,arena_code__mapping_note,arena_code__quota_effort_matched,arena_agent_mode__selection,arena_agent_mode__configuration_count,arena_agent_mode__configuration_id,arena_agent_mode__variant,arena_agent_mode__score,arena_agent_mode__score_is_estimated,arena_agent_mode__agent_harness,arena_agent_mode__reasoning_effort,arena_agent_mode__service_mode,arena_agent_mode__score_low,arena_agent_mode__score_high,arena_agent_mode__mean_cost_usd_per_task,arena_agent_mode__median_cost_usd_per_task,arena_agent_mode__source,arena_agent_mode__mapping_kind,arena_agent_mode__mapping_confidence,arena_agent_mode__mapping_note,arena_agent_mode__quota_effort_matched,aa_intelligence_index__selection,aa_intelligence_index__configuration_count,aa_intelligence_index__configuration_id,aa_intelligence_index__variant,aa_intelligence_index__score,aa_intelligence_index__score_is_estimated,aa_intelligence_index__agent_harness,aa_intelligence_index__reasoning_effort,aa_intelligence_index__service_mode,aa_intelligence_index__score_low,aa_intelligence_index__score_high,aa_intelligence_index__mean_cost_usd_per_task,aa_intelligence_index__median_cost_usd_per_task,aa_intelligence_index__source,aa_intelligence_index__mapping_kind,aa_intelligence_index__mapping_confidence,aa_intelligence_index__mapping_note,aa_intelligence_index__quota_effort_matched,aa_coding_agent_index__selection,aa_coding_agent_index__configuration_count,aa_coding_agent_index__configuration_id,aa_coding_agent_index__variant,aa_coding_agent_index__score,aa_coding_agent_index__score_is_estimated,aa_coding_agent_index__agent_harness,aa_coding_agent_index__reasoning_effort,aa_coding_agent_index__service_mode,aa_coding_agent_index__score_low,aa_coding_agent_index__score_high,aa_coding_agent_index__mean_cost_usd_per_task,aa_coding_agent_index__median_cost_usd_per_task,aa_coding_agent_index__source,aa_coding_agent_index__mapping_kind,aa_coding_agent_index__mapping_confidence,aa_coding_agent_index__mapping_note,aa_coding_agent_index__quota_effort_matched
chatgpt_plus::gpt-5.6-sol,ChatGPT Plus,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Plus,20.0,6.16,0.03247,0.546,336.34,16.82,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.0595,medium,main,awesome-coding-plan 2026-07-30 实测,,highest_archived_reference,1,arena_code:4d762d186e75a68a,gpt-5.6-sol-xhigh (codex-harness),1617,,Codex,xhigh,,1610,1624,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:73469c493861b78e,GPT 5.6 Sol (xHigh),9.49,,,xhigh,,,,,1.24,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:7bda3489fc721ac8,GPT-5.6 Sol (max),47.0614,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:5c89355a3d0d1716,Codex - GPT-5.6 Sol (max),65.0524,,Codex,max,,,,4.9955,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
chatgpt_pro_5x::gpt-5.6-sol,ChatGPT Pro 5x,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Pro 5x,100.0,30.8,0.03247,0.546,1681.68,16.82,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.0595,medium,full,Plus × 官方 5x,flat.json 写 38.9 与官方 5x 不符，改 30.8,highest_archived_reference,1,arena_code:4d762d186e75a68a,gpt-5.6-sol-xhigh (codex-harness),1617,,Codex,xhigh,,1610,1624,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:73469c493861b78e,GPT 5.6 Sol (xHigh),9.49,,,xhigh,,,,,1.24,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:7bda3489fc721ac8,GPT-5.6 Sol (max),47.0614,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:5c89355a3d0d1716,Codex - GPT-5.6 Sol (max),65.0524,,Codex,max,,,,4.9955,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
chatgpt_pro_20x::gpt-5.6-sol,ChatGPT Pro 20x,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Pro 20x,200.0,123.2,0.01623,0.546,6726.72,33.63,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.0297,high,main,Plus × 官方 20x,用户拍板 123.2；两个独立印证：OpenAI 社区健康周 7.87 亿 = 24% → 131 亿/月；《财经》2026-08 跑满实测 109 亿/月；文章 200 亿作废；第三方旁证：OpenClawFarm 网关 2026-08-21~09-06 对正价 Pro 20x 账号 250 个百分点的 raw token 实测 139.5 亿/月（段间 108~154 亿，实际负载 cache 94.7%，直接给出 total tokens、不再按标准负载归一），见 chatgpt-pro20x-gateway-measurement-2026-09-06.json；逐段复核发现汇总仍含两段Astra，139.5亿仅作混合负载旁证，不视为纯Sol实测；采用值未改,highest_archived_reference,1,arena_code:4d762d186e75a68a,gpt-5.6-sol-xhigh (codex-harness),1617,,Codex,xhigh,,1610,1624,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:73469c493861b78e,GPT 5.6 Sol (xHigh),9.49,,,xhigh,,,,,1.24,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:7bda3489fc721ac8,GPT-5.6 Sol (max),47.0614,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:5c89355a3d0d1716,Codex - GPT-5.6 Sol (max),65.0524,,Codex,max,,,,4.9955,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
chatgpt_plus::gpt-5.6-luna,ChatGPT Plus,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Plus,20.0,75.11,0.00266,0.028,210.31,10.52,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.095,high,main,"用户Plus面板：112,666,769 total tokens = 周额度约6%；chatgpt-luna-adoption-round6-2026-09-08.json","旧120.12亿（Sol基准×统一credits价比19.5）→75.11亿：112,666,769÷6%×4周；直接保留面板total，不再套标准负载。6%若为整数四舍五入，范围约69.33~81.94亿/月；实测token构成为cache read 97.06%、普通输入2.61%、输出0.33%",highest_archived_reference,1,arena_code:068a1ce7954e336a,gpt-5.6-luna-xhigh (codex-harness),1519,,Codex,xhigh,,1511,1527,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:fbd553ca21ddc3c4,GPT 5.6 Luna (xHigh),2.15,,,xhigh,,,,,0.08,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:4e56d565c01b3d4c,GPT-5.6 Luna (max),37.5048,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:4623dde5b8429bcf,Codex - GPT-5.6 Luna (max),57.1661,,Codex,max,,,,0.2883,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
chatgpt_pro_5x::gpt-5.6-luna,ChatGPT Pro 5x,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Pro 5x,100.0,375.56,0.00266,0.028,1051.57,10.52,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.095,medium,full,Plus Luna实测×官方5x；chatgpt-luna-adoption-round6-2026-09-08.json,旧600.6亿→375.56亿：Plus Luna面板反推基准×官方5x；非Pro 5x账号独立实测,highest_archived_reference,1,arena_code:068a1ce7954e336a,gpt-5.6-luna-xhigh (codex-harness),1519,,Codex,xhigh,,1511,1527,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:fbd553ca21ddc3c4,GPT 5.6 Luna (xHigh),2.15,,,xhigh,,,,,0.08,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:4e56d565c01b3d4c,GPT-5.6 Luna (max),37.5048,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:4623dde5b8429bcf,Codex - GPT-5.6 Luna (max),57.1661,,Codex,max,,,,0.2883,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
chatgpt_pro_20x::gpt-5.6-luna,ChatGPT Pro 20x,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Pro 20x,200.0,1502.22,0.00133,0.028,4206.22,21.03,False,official,high,https://developers.openai.com/api/docs/pricing,list-prices-round2-2026-09-09.json,0.0475,medium,main,Plus Luna实测×官方20x；GitHub #8社区美元等效旁证；chatgpt-luna-adoption-round6-2026-09-08.json,旧2402.4亿→1502.22亿：Plus Luna面板反推基准×官方20x；按截图实际token组成折公开API价，约$1073/周，与社区‘Luna x20不到$1200、Sol x20约$2000’同量级。美元等效仅作池比旁证，不直接换token,highest_archived_reference,1,arena_code:068a1ce7954e336a,gpt-5.6-luna-xhigh (codex-harness),1519,,Codex,xhigh,,1511,1527,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:fbd553ca21ddc3c4,GPT 5.6 Luna (xHigh),2.15,,,xhigh,,,,,0.08,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,6,aa_intelligence_index:4e56d565c01b3d4c,GPT-5.6 Luna (max),37.5048,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:4623dde5b8429bcf,Codex - GPT-5.6 Luna (max),57.1661,,Codex,max,,,,0.2883,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
claude_pro::claude-opus-4.8,Claude Pro,subscription,claude-opus-4.8,Claude Opus 4.8,Anthropic,Claude Opus 4.8 · Claude Pro,20.0,15.88,0.01259,0.6825,1083.81,54.19,False,official,high,https://platform.claude.com/docs/en/about-claude/pricing,list-prices-round2-2026-09-09.json,0.0184,medium,main,awesome-coding-plan 实测,Opus4.8历史实测保留，现服务Opus5未重测；round5候选Opus5约1.9亿依赖假定周消息数，用户未确认，不作为实测收紧证据,highest_archived_reference,2,arena_code:64447103ae4fcc1b,claude-opus-4-8-high,1563,,,high,,1556,1570,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:e4d2e86548e10b30,Claude Opus 4.8 (High),9.22,,,high,,,,,1.63,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,aa_intelligence_index:3d1c6c0e46c019b3,Claude Opus 4.8 (max),41.9916,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,5,aa_coding_agent_index:5258d3311d9180dd,Claude Code - Opus 4.8 (max),62.1405,,Claude Code,max,,,,7.7247,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
claude_max_20x::claude-opus-5,Claude Max 20x (9/14+),subscription,claude-opus-5,Claude Opus 5,Anthropic,Claude Opus 5 · Claude Max 20x (9/14+),200.0,157.0,0.01274,0.6825,10715.25,53.58,False,official,high,https://platform.claude.com/docs/en/about-claude/pricing,list-prices-round2-2026-09-09.json,0.0187,medium,main,Zenn skipbit实测+用户永久口径；claude-adoption-round6-2026-09-06.json,旧80亿→157亿，9/14起永久口径：47.2亿/周×4周÷1.5×1.25后取整；参考区间110~200亿。混合模型及非完全同窗样本，非纯Opus5实测硬上限；不取活动期189或裸基准126,highest_archived_reference,2,arena_code:42d4d30da21baa49,claude-opus-5-max,1688,,,max,,1680,1696,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,2,arena_agent_mode:4e8d9d59096bd91c,Claude Opus 5 (High),13.74,,,high,,,,,2.43,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,5,aa_intelligence_index:ecb5e2e0dc4c6fe1,Claude Opus 5 (max),50.7002,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:cdbc5d67279b025e,Claude Code - Opus 5 (xhigh),68.1498,,Claude Code,xhigh,,,,8.1708,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
claude_max_5x::claude-opus-5,Claude Max 5x (9/14+),subscription,claude-opus-5,Claude Opus 5,Anthropic,Claude Opus 5 · Claude Max 5x (9/14+),100.0,78.5,0.01274,0.6825,5357.62,53.58,False,official,high,https://platform.claude.com/docs/en/about-claude/pricing,list-prices-round2-2026-09-09.json,0.0187,medium,full,用户明确20x周池仅为5x的2倍；claude-adoption-round6-2026-09-06.json,旧35.6亿→78.5亿，9/14起永久口径157÷2；low→medium按用户确认周池关系推算，非独立实测；不采用36亿消息数候选或70亿/旧2.25倍率；5h窗口4倍关系不套周池,highest_archived_reference,2,arena_code:42d4d30da21baa49,claude-opus-5-max,1688,,,max,,1680,1696,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,2,arena_agent_mode:4e8d9d59096bd91c,Claude Opus 5 (High),13.74,,,high,,,,,2.43,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,5,aa_intelligence_index:ecb5e2e0dc4c6fe1,Claude Opus 5 (max),50.7002,False,,max,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,highest_archived_reference,6,aa_coding_agent_index:cdbc5d67279b025e,Claude Code - Opus 5 (xhigh),68.1498,,Claude Code,xhigh,,,,8.1708,,https://artificialanalysis.ai/agents/coding-agents,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,
supergrok::grok-4.6,SuperGrok,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · SuperGrok,30.0,5.09,0.05894,0.5515,280.71,9.36,False,official,high,https://docs.x.ai/developers/models,list-prices-round2-2026-09-09.json,0.1069,high,main,"V2EX受控打满127,272,629 token/周×4周","采用5.09亿：127,272,629×4周；面板周额度$25；同帖双倍活动周2.45亿不采；linux.do另测1.44亿/周同量级",highest_archived_reference,1,arena_code:e1dcd39154aa4453,grok-4.6-high,1625,,,high,,1614,1636,,,https://arena.ai/leaderboard/code,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,1,arena_agent_mode:87a14a93c0c64f31,Grok 4.6 (xHigh),5.33,,,xhigh,,,,,1.06,https://arena.ai/leaderboard/agent,agent_configuration_reference,low,Exact served-model reference only; product harness and quota-measurement effort are unverified. Not a benchmark measurement of this subscription or API channel.,,highest_archived_reference,4,aa_intelligence_index:9ceb40564db37e03,Grok 4.6 (high),44.405,False,,high,,,,,,https://artificialanalysis.ai/leaderboards/models,model_configuration_reference,medium,Exact served-model reference; quota-measurement effort is unverified.,,,0,,,,,,,,,,,,,,,,
