Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee    Served model                Monthly tokens (B)  USD/MTok  Confidence
---  ----------------------------------  -------------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                CNY 699        Step 3.5 Flash              251.731             0.00041   medium
2    Step Plan Pro (¥199)                CNY 199        Step 3.5 Flash              50.3461             0.00058   medium
3    OpenCode Go                         USD 10         Muse Spark 1.3 Contributor  12.5                0.0008    medium
4    OpenCode Go                         USD 10         Muse Spark 1.2 Contributor  12.5                0.0008    medium
5    Step Plan Max (¥699)                CNY 699        Step 3.7 Flash              124.756             0.00083   medium
6    OpenCode Go                         USD 10         MiMo V2.5                   8.9286              0.00112   medium
7    Step Plan Pro (¥199)                CNY 199        Step 3.7 Flash              24.9513             0.00118   medium
8    ChatGPT Pro 20x                     USD 200        GPT 5.6 Luna                150.222             0.00133   medium
9    Step Plan Plus (¥99)                CNY 99         Step 3.5 Flash              10.0692             0.00145   medium
10   Command Code GOAT                   USD 10         DeepSeek V4.1 Flash         4.8485              0.00206   medium
11   Command Code GOAT                   USD 10         MiMo V2.5                   4.4643              0.00224   medium
12   Command Code GOAT                   USD 10         Muse Spark 1.3 Contributor  4.1667              0.0024    medium
13   Command Code GOAT                   USD 10         Muse Spark 1.2 Contributor  4.1667              0.0024    medium
14   ChatGPT Plus                        USD 20         GPT 5.6 Luna                7.511               0.00266   high
15   ChatGPT Pro 5x                      USD 100        GPT 5.6 Luna                37.556              0.00266   medium
16   OpenCode Go                         USD 10         LongCat 2.0                 3.6364              0.00275   medium
17   Ollama Pro                          USD 20         DeepSeek V4.1 Flash         7.2727              0.00275   medium
18   Ollama Max                          USD 100        DeepSeek V4.1 Flash         36.3636             0.00275   medium
19   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149        GLM 5.3 Flash               7.699               0.00285   high
20   Step Plan Mini (¥49)                CNY 49         Step 3.5 Flash              2.5173              0.00287   medium
21   Step Plan Plus (¥99)                CNY 99         Step 3.7 Flash              4.9903              0.00293   medium
22   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149        GLM 5.3 Flash               5.774               0.00381   high
23   GLM Coding Max (v2 ¥469) Off-peak   CNY 469        GLM 5.3 Flash               17.965              0.00385   high
24   Ollama Pro                          USD 20         DeepSeek V4 Flash           4.3274              0.00462   medium
25   Ollama Max                          USD 100        DeepSeek V4 Flash           21.6372             0.00462   medium
26   Claude Pro                          USD 20         Claude Sonnet 5             3.97                0.00504   medium
27   Claude Max 20x (9/14+)              USD 200        Claude Sonnet 5             39.25               0.0051    medium
28   Claude Max 5x (9/14+)               USD 100        Claude Sonnet 5             19.625              0.0051    low
29   GLM Coding Max (v2 ¥469) Midpoint   CNY 469        GLM 5.3 Flash               13.473              0.00514   high
30   OpenCode Go                         USD 10         DeepSeek V4.1 Flash         1.8182              0.0055    medium
31   Command Code GOAT                   USD 10         Hy3                         1.7873              0.0056    medium
32   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3 Flash               1.283               0.00563   high
33   GLM Coding Pro (v2 ¥149) Peak       CNY 149        GLM 5.3 Flash               3.85                0.00571   high
34   Step Plan Mini (¥49)                CNY 49         Step 3.7 Flash              1.2476              0.00579   medium
35   OpenCode Go                         USD 10         Hy3                         1.532               0.00653   medium
36   OpenCode Go                         USD 10         Qwen3.8 Flash               1.4656              0.00682   medium
37   GLM Coding Lite (v2 ¥49) Midpoint   CNY 49         GLM 5.3 Flash               0.962               0.00751   high
38   OpenCode Go                         USD 10         Omen Alpha                  1.3155              0.0076    medium
39   GLM Coding Max (v2 ¥469) Peak       CNY 469        GLM 5.3 Flash               8.982               0.0077    high
40   Command Code GOAT                   USD 10         MiMo V2.5 Pro               1.2573              0.00795   medium
41   DeepSeek V4.1 Flash API Off-peak    Pay-as-you-go  DeepSeek V4.1 Flash         -                   0.00825   high
42   Command Code GOAT                   USD 10         Qwen3.8 27B                 1.2048              0.0083    medium
43   ChatGPT Pro 20x                     USD 200        GPT 5.6 Terra               24.024              0.00833   medium
44   Command Code GOAT                   USD 10         GLM 5.3 Flash               1.1687              0.00856   medium
45   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149        GLM 5.3                     2.54                0.00865   high
46   GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078       GLM 5.3 Flash               17.965              0.00885   high
47   OpenCode Go                         USD 10         Qwen3.7 Plus                1.1278              0.00887   medium
48   MiniMax Token Plan Ultra            CNY 469        MiniMax M3                  7.1                 0.00974   high
49   MiniMax Token Plan Max              CNY 119        MiniMax M3                  1.8                 0.00975   high
50   Cursor Ultra (Standard)             USD 200        Composer 2.5                19.8926             0.01005   medium
51   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538        GLM 5.3 Flash               7.699               0.01031   high
52   Command Code GOAT                   USD 10         Qwen3.8 Flash               0.9669              0.01034   medium
53   OpenCode Go                         USD 10         MiMo V2.5 Pro               0.9415              0.01062   medium
54   MiniMax Token Plan Max (Global)     USD 55         MiniMax M3                  5.1                 0.01078   high
55   GLM Coding Lite (v2 ¥49) Peak       CNY 49         GLM 5.3 Flash               0.642               0.01126   high
56   Cursor Pro+ (Standard)              USD 60         Composer 2.5                5.3047              0.01131   low
57   Command Code GOAT                   USD 10         Step 3.5 Flash              0.8811              0.01135   medium
58   Ollama Pro                          USD 20         GLM 5.3 Flash               1.7531              0.01141   medium
59   Ollama Max                          USD 100        GLM 5.3 Flash               8.7655              0.01141   medium
60   OpenCode Go                         USD 10         MiniMax M3                  0.8677              0.01152   medium
61   OpenCode Go                         USD 10         MiniMax M2.7                0.8677              0.01152   medium
62   OpenCode Go                         USD 10         MiniMax M2.5                0.8677              0.01152   medium
63   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149        GLM 5.3                     1.905               0.01154   high
64   OpenCode Go                         USD 10         Qwen3.6 Plus                0.8571              0.01167   medium
65   GLM Coding Max (v2 ¥469) Off-peak   CNY 469        GLM 5.3                     5.926               0.01168   high
66   GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078       GLM 5.3 Flash               13.473              0.0118    high
67   MiniMax Token Plan Plus             CNY 49         MiniMax M3                  0.6                 0.01205   high
68   MiniMax Token Plan Plus             CNY 49         MiniMax M2.7                0.6                 0.01205   medium
69   Claude Pro                          USD 20         Claude Opus 4.8             1.588               0.01259   medium
70   Claude Max 20x (9/14+)              USD 200        Claude Opus 5               15.7                0.01274   medium
71   Claude Max 5x (9/14+)               USD 100        Claude Opus 5               7.85                0.01274   medium
72   Claude Max 20x (9/14+)              USD 200        Claude Opus 4.8             15.7                0.01274   low
73   MiniMax Token Plan Plus (Global)    USD 22         MiniMax M3                  1.7                 0.01294   high
74   MiniMax Token Plan Plus (Global)    USD 22         MiniMax M2.7                1.7                 0.01294   medium
75   MiniMax Token Plan Ultra (Global)   USD 132        MiniMax M3                  9.8                 0.01347   high
76   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118        GLM 5.3 Flash               1.283               0.01357   high
77   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538        GLM 5.3 Flash               5.774               0.01375   high
78   DeepSeek V4 Flash API Off-peak      Pay-as-you-go  DeepSeek V4 Flash           -                   0.01386   high
79   Command Code GOAT                   USD 10         GPT 5.6 Luna                0.7143              0.014     medium
80   Ollama Pro                          USD 20         DeepSeek V4 Pro             1.4094              0.01419   medium
81   Ollama Max                          USD 100        DeepSeek V4 Pro             7.0472              0.01419   medium
82   Command Code GOAT                   USD 10         MiniMax M3                  0.6797              0.01471   medium
83   GLM Coding Max (v2 ¥469) Midpoint   CNY 469        GLM 5.3                     4.445               0.01557   high
84   ChatGPT Pro 20x                     USD 200        GPT 5.6 Sol                 12.32               0.01623   high
85   DeepSeek V4.1 Flash API Peak        Pay-as-you-go  DeepSeek V4.1 Flash         -                   0.0165    high
86   Cursor Pro (Standard)               USD 20         Composer 2.5                1.2084              0.01655   medium
87   ChatGPT Plus                        USD 20         GPT 5.6 Terra               1.2012              0.01665   medium
88   ChatGPT Pro 5x                      USD 100        GPT 5.6 Terra               6.006               0.01665   medium
89   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3                     0.423               0.01709   high
90   GLM Coding Pro (v2 ¥149) Peak       CNY 149        GLM 5.3                     1.27                0.01731   high
91   GLM Coding Max (v3 ¥1078) Peak      CNY 1078       GLM 5.3 Flash               8.982               0.01771   high
92   GLM Coding Lite (v3 ¥118) Midpoint  CNY 118        GLM 5.3 Flash               0.962               0.0181    high
93   OpenCode Go                         USD 10         GPT 5.6 Luna                0.5357              0.01867   medium
94   Kimi CN CNY 199 †                   CNY 199        Kimi K2.7 Code              1.568               0.01872   medium
95   Kimi CN CNY 199 †                   CNY 199        Kimi K3                     1.451               0.02023   medium
96   GLM Coding Pro (v3 ¥538) Peak       CNY 538        GLM 5.3 Flash               3.85                0.02061   high
97   ChatGPT Pro 20x                     USD 200        GPT 5.5                     9.6096              0.02081   medium
98   Command Code GOAT                   USD 10         DeepSeek V4 Pro             0.4698              0.02129   medium
99   Kimi CN CNY 699 †                   CNY 699        Kimi K2.7 Code              4.704               0.02192   medium
100  OpenCode Go                         USD 10         Hy4 Preview                 0.4436              0.02254   medium
101  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49         GLM 5.3                     0.317               0.0228    high
102  OpenCode Go                         USD 10         GLM 5.3 Flash               0.4383              0.02282   medium
103  Ollama Pro                          USD 20         MiniMax M2.7                0.8677              0.02305   medium
104  Ollama Max                          USD 100        MiniMax M2.7                4.3384              0.02305   medium
105  GLM Coding Max (v2 ¥469) Peak       CNY 469        GLM 5.3                     2.963               0.02335   high
106  Command Code GOAT                   USD 10         Step 3.7 Flash              0.4226              0.02366   medium
107  Kimi CN CNY 699 †                   CNY 699        Kimi K3                     4.353               0.02369   medium
108  Cursor Ultra                        USD 200        Grok 4.6                    7.737               0.02585   medium
109  Cursor Ultra                        USD 200        Grok 4.5                    7.737               0.02585   medium
110  GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078       GLM 5.3                     5.926               0.02684   high
111  GLM Coding Lite (v3 ¥118) Peak      CNY 118        GLM 5.3 Flash               0.642               0.02711   high
112  DeepSeek V4 Flash API Peak          Pay-as-you-go  DeepSeek V4 Flash           -                   0.02773   high
113  Command Code GOAT                   USD 10         Qwen3.7 Plus                0.3579              0.02794   medium
114  GPT-5.6 Luna API                    Pay-as-you-go  GPT 5.6 Luna                -                   0.028     high
115  Cursor Ultra (Composer Fast)        USD 200        Composer 2.5                7.0587              0.02833   medium
116  OpenCode Go                         USD 10         DeepSeek V4 Pro             0.3524              0.02838   medium
117  Cursor Pro+                         USD 60         Grok 4.6                    2.0632              0.02908   medium
118  GLM Coding Pro (v3 ¥538) Off-peak   CNY 538        GLM 5.3                     2.54                0.03125   high
119  OpenCode Go                         USD 10         Kimi K2.6                   0.3151              0.03174   medium
120  Cursor Pro+ (Composer Fast)         USD 60         Composer 2.5                1.8823              0.03188   low
121  ChatGPT Plus                        USD 20         GPT 5.6 Sol                 0.616               0.03247   medium
122  ChatGPT Pro 5x                      USD 100        GPT 5.6 Sol                 3.08                0.03247   medium
123  Command Code GOAT                   USD 10         Hy4 Preview                 0.2957              0.03382   medium
124  GLM Coding Lite (v2 ¥49) Peak       CNY 49         GLM 5.3                     0.212               0.0341    high
125  GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078       GLM 5.3                     4.445               0.03578   high
126  Command Code GOAT                   USD 10         Qwen3.6 Plus                0.2779              0.03598   medium
127  OpenCode Go                         USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
128  Command Code GOAT                   USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
129  Command Code GOAT                   USD 10         DeepSeek V4 Flash Fast      0.2624              0.03811   medium
130  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118        GLM 5.3                     0.423               0.04115   high
131  ChatGPT Pro 20x                     USD 200        GPT-6 Astra                 4.808               0.0416    low
132  ChatGPT Plus                        USD 20         GPT 5.5                     0.4805              0.04162   medium
133  ChatGPT Pro 5x                      USD 100        GPT 5.5                     2.4024              0.04163   medium
134  GLM Coding Pro (v3 ¥538) Midpoint   CNY 538        GLM 5.3                     1.905               0.04166   high
135  Cursor Pro                          USD 20         Grok 4.6                    0.47                0.04255   medium
136  DeepSeek V4 Pro API Off-peak        Pay-as-you-go  DeepSeek V4 Pro             -                   0.04257   high
