订阅月费：>$30 且 ≤$100
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                             价格/月  服务模型             月额度(亿)  $/MTok   置信度
----  -------------------------------  -------  -------------------  ----------  -------  ------
1     ChatGPT Pro 5x                   USD 100  GPT 5.6 Luna         375.56      0.00266  medium
2     Ollama Max                       USD 100  DeepSeek V4.1 Flash  363.636     0.00275  medium
3     Ollama Max                       USD 100  DeepSeek V4 Flash    216.372     0.00462  medium
4     Claude Max 5x (9/14+)            USD 100  Claude Sonnet 5      196.25      0.0051   low
5     GLM Coding Max (v2 ¥469) 闲时    CNY 469  GLM 5.3 Flash        179.65      0.00385  high
6     GLM Coding Max (v2 ¥469) 中间值  CNY 469  GLM 5.3 Flash        134.73      0.00514  high
7     GLM Coding Max (v2 ¥469) 忙时    CNY 469  GLM 5.3 Flash        89.82       0.0077   high
8     Ollama Max                       USD 100  GLM 5.3 Flash        87.655      0.01141  medium
9     Claude Max 5x (9/14+)            USD 100  Claude Opus 5        78.5        0.01274  medium
10    GLM Coding Pro (v3 ¥538) 闲时    CNY 538  GLM 5.3 Flash        76.99       0.01031  high
11    MiniMax Token Plan Ultra         CNY 469  MiniMax M3           71          0.00974  high
12    Ollama Max                       USD 100  DeepSeek V4 Pro      70.472      0.01419  medium
13    ChatGPT Pro 5x                   USD 100  GPT 5.6 Terra        60.06       0.01665  medium
14    GLM Coding Max (v2 ¥469) 闲时    CNY 469  GLM 5.3              59.26       0.01168  high
15    GLM Coding Pro (v3 ¥538) 中间值  CNY 538  GLM 5.3 Flash        57.74       0.01375  high
16    Cursor Pro+ (Standard)           USD 60   Composer 2.5         53.047      0.01131  low
17    MiniMax Token Plan Max (Global)  USD 55   MiniMax M3           51          0.01078  high
18    GLM Coding Max (v2 ¥469) 中间值  CNY 469  GLM 5.3              44.45       0.01557  high
19    Ollama Max                       USD 100  MiniMax M2.7         43.384      0.02305  medium
20    GLM Coding Pro (v3 ¥538) 忙时    CNY 538  GLM 5.3 Flash        38.5        0.02061  high
21    ChatGPT Pro 5x                   USD 100  GPT 5.6 Sol          30.8        0.03247  medium
22    GLM Coding Max (v2 ¥469) 忙时    CNY 469  GLM 5.3              29.63       0.02335  high
23    GLM Coding Pro (v3 ¥538) 闲时    CNY 538  GLM 5.3              25.4        0.03125  high
24    ChatGPT Pro 5x                   USD 100  GPT 5.5              24.024      0.04163  medium
25    Ollama Max                       USD 100  MiniMax M3           21.692      0.0461   medium
26    Cursor Pro+                      USD 60   Grok 4.6             20.632      0.02908  medium
27    SuperGrok Plus                   USD 100  Grok 4.6             20.4        0.04902  medium
28    GLM Coding Pro (v3 ¥538) 中间值  CNY 538  GLM 5.3              19.05       0.04166  high
29    Cursor Pro+ (Composer Fast)      USD 60   Composer 2.5         18.823      0.03188  low
30    Ollama Max                       USD 100  Kimi K2.7 Code       13.657      0.07322  medium
31    Ollama Max                       USD 100  GLM 5.1              13.175      0.0759   medium
32    GLM Coding Pro (v3 ¥538) 忙时    CNY 538  GLM 5.3              12.7        0.06249  high
33    Ollama Max                       USD 100  GLM 5.3              10.033      0.09967  medium
34    Ollama Max                       USD 100  GLM 5.2              10.033      0.09967  medium
35    Claude Max 5x (9/14+)            USD 100  Claude Fable 5       9.235       0.10828  low
36    Ollama Max                       USD 100  Kimi K3              7.326       0.1365   medium
37    Alibaba Cloud Coding Plan Pro    USD 50   Qwen3.7 Plus         1.98        0.25253  low
