Subscription value | What the allowance is worth in monthly fees at API list price
Multiple = the allowance priced at official metered rates ÷ the monthly fee; 1x is break-even, below 1x the subscription costs more than buying the same tokens on the API
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo       Confidence
---  ----------------------------------  -----------  ----------------------------  ------------------  --------  ----------------  ----------
1    Claude Pro                          USD 20       Claude Opus 4.8               1.588               0.01259   1,084 (54.19×)    medium
2    Claude Pro                          USD 20       Claude Sonnet 5               3.97                0.00504   1,084 (54.19×)‡   medium
3    Claude Max 20x (9/14+)              USD 200      Claude Opus 5                 15.7                0.01274   10,715 (53.58×)   medium
4    Claude Max 5x (9/14+)               USD 100      Claude Opus 5                 7.85                0.01274   5,358 (53.58×)    medium
5    Claude Max 20x (9/14+)              USD 200      Claude Sonnet 5               39.25               0.0051    10,715 (53.58×)‡  medium
6    Claude Max 20x (9/14+)              USD 200      Claude Opus 4.8               15.7                0.01274   10,715 (53.58×)‡  low
7    Claude Max 5x (9/14+)               USD 100      Claude Sonnet 5               19.625              0.0051    5,358 (53.58×)‡   low
8    GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3                       2.54                0.00865   759 (34.55×)      high
9    ChatGPT Pro 20x                     USD 200      GPT 5.6 Sol                   12.32               0.01623   6,727 (33.63×)    high
10   ChatGPT Pro 20x                     USD 200      GPT 5.6 Terra                 24.024              0.00833   6,727 (33.63×)‡   medium
11   ChatGPT Pro 20x                     USD 200      GPT 5.5                       9.6096              0.02081   6,727 (33.63×)‡   medium
12   Command Code GOAT                   USD 10       MiMo V2.5 Pro                 1.2573              0.00795   285 (28.54×)*     medium
13   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3                       1.905               0.01154   570 (25.91×)      high
14   GLM Coding Max (v2 ¥469) Off-peak   CNY 469      GLM 5.3                       5.926               0.01168   1,772 (25.61×)    high
15   OpenCode Go                         USD 10       MiMo V2.5 Pro                 0.9415              0.01062   214 (21.37×)*     medium
16   Cursor Ultra                        USD 200      Grok 4.6                      7.737               0.02585   4,267 (21.33×)    medium
17   Cursor Ultra (Standard)             USD 200      Composer 2.5                  19.8926             0.01005   4,267 (21.33×)‡   medium
18   ChatGPT Pro 20x                     USD 200      GPT 5.6 Luna                  150.222             0.00133   4,206 (21.03×)    medium
19   Kimi CN CNY 199 †                   CNY 199      Kimi K3                       1.451               0.02023   594 (20.24×)      medium
20   GLM Coding Max (v2 ¥469) Midpoint   CNY 469      GLM 5.3                       4.445               0.01557   1,329 (19.21×)    high
21   Cursor Pro+                         USD 60       Grok 4.6                      2.0632              0.02908   1,138 (18.96×)    medium
22   Cursor Pro+ (Standard)              USD 60       Composer 2.5                  5.3047              0.01131   1,138 (18.96×)‡   low
23   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3                       0.423               0.01709   126 (17.49×)      high
24   Kimi CN CNY 699 †                   CNY 699      Kimi K3                       4.353               0.02369   1,783 (17.29×)    medium
25   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3                       1.27                0.01731   380 (17.28×)      high
26   ChatGPT Plus                        USD 20       GPT 5.6 Sol                   0.616               0.03247   336 (16.82×)      medium
