Artificial Analysis Intelligence Index v4.3 | Intelligence Index | 2026-09-09
Selected by price and score across all subscriptions/APIs, not by allowance. Equivalent plans retained; unscored models excluded; uncertainty not modeled.
Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                               Monthly fee  Served model    Monthly tokens (B)  USD/MTok  Confidence  Intelligence Index  Score variant                      Harness  Reasoning effort  Mapping
---  ---------------------------------  -----------  --------------  ------------------  --------  ----------  ------------------  ---------------------------------  -------  ----------------  -----------------------------
1    Step Plan Max (¥699)               CNY 699      Step 3.5 Flash  251.731             0.00041   medium      16.9641             Step 3.5 Flash 2603 [AA estimate]  —        —                 model_configuration_reference
2    Step Plan Max (¥699)               CNY 699      Step 3.7 Flash  124.756             0.00083   medium      19.4813             Step 3.7 Flash [AA estimate]       —        —                 model_configuration_reference
3    OpenCode Go                        USD 10       MiMo V2.5       8.9286              0.00112   medium      22.3039             MiMo-V2.5                          —        —                 model_configuration_reference
4    ChatGPT Pro 20x                    USD 200      GPT 5.6 Luna    150.222             0.00133   medium      37.5048             GPT-5.6 Luna (max)                 —        max               model_configuration_reference
5    GLM Coding Pro (v2 ¥149) Off-peak  CNY 149      GLM 5.3 Flash   7.699               0.00285   high        41.9074             GLM-5.3-Flash                      —        —                 model_configuration_reference
6    ChatGPT Pro 20x                    USD 200      GPT 5.6 Terra   24.024              0.00833   medium      42.2515             GPT-5.6 Terra (max)                —        max               model_configuration_reference
7    GLM Coding Pro (v2 ¥149) Off-peak  CNY 149      GLM 5.3         2.54                0.00865   high        44.8557             GLM-5.3 (max)                      —        max               model_configuration_reference
8    Claude Max 20x (9/14+)             USD 200      Claude Opus 5   15.7                0.01274   medium      50.7002             Claude Opus 5 (max)                —        max               model_configuration_reference
9    Claude Max 5x (9/14+)              USD 100      Claude Opus 5   7.85                0.01274   medium      50.7002             Claude Opus 5 (max)                —        max               model_configuration_reference
